SN,Total Feedback Given,Total Configured,Questions,Weightage 1,Weightage 2,Weightage 3,Weightage 4,Weightage 5,Average/ Percentage,Course Name ,Basic Course,Total_Ratings,Average_Rating
8,7,20,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,1,2,0,3,3.43 / 68.57,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,3.4285714285714284
9,7,20,The institution provides multiple opportunities to learn and grow.,0,0,4,1,2,3.71 / 74.29,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,3.7142857142857144
10,7,20,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",1,0,2,3,1,3.43 / 68.57,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,3.4285714285714284
11,7,20,Your mentor does a necessary follow-up with an assigned task to you.,0,1,2,1,3,3.86 / 77.14,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,3.857142857142857
12,7,20,The teachers illustrate the concepts through examples and applications.,0,0,2,2,3,4.14 / 82.86,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,4.142857142857143
13,7,20,The teachers identify your strengths and encourage you to provide the proper level of challenges.,2,1,2,0,2,2.86 / 57.14,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,2.857142857142857
14,7,20,Teachers are able to identify your weaknesses and help you to overcome them.,1,4,1,0,1,2.43 / 48.57,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,2.4285714285714284
15,7,20,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,3,3,1,3.71 / 74.29,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,3.7142857142857144
16,7,20,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,1,2,2,2,3.71 / 74.29,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,3.7142857142857144
17,7,20,Teachers encourage you to participate in extracurricular activities.,0,0,4,2,1,3.57 / 71.43,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,3.5714285714285716
18,7,20,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,2,3,1,3.57 / 71.43,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,3.5714285714285716
19,7,20,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",3,0,2,1,1,2.57 / 51.43,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,2.5714285714285716
20,7,20,The overall quality of the teaching-learning process in your institute is very good.,0,0,3,3,1,3.71 / 74.29,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,7,3.7142857142857144
1,4,24,How much of the syllabus was covered in the class?,0,0,1,1,2,4.25 / 85.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,4.25
2,4,24,How well did the teachers prepare for the classes?,0,0,1,3,0,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,3.75
3,4,24,How well were the teachers able to communicate?,0,0,1,3,0,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,3.75
4,4,24,The teachers approach to teaching can best be described as,0,2,0,2,0,3.00 / 60.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,3.0
5,4,24,Fairness of the internal evaluation process by the teachers.,0,0,1,3,0,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,3.75
6,4,24,Was your performance in assignments discussed with you?,0,0,1,2,1,4.00 / 80.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,4.0
7,4,24,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",1,2,0,0,1,2.50 / 50.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,2.5
8,4,24,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,1,0,2,0,2.75 / 55.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,2.75
9,4,24,The institution provides multiple opportunities to learn and grow.,0,0,2,2,0,3.50 / 70.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,3.5
10,4,24,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,1,2,1,0,3.00 / 60.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,3.0
11,4,24,Your mentor does a necessary follow-up with an assigned task to you.,1,1,1,0,1,2.75 / 55.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,2.75
12,4,24,The teachers illustrate the concepts through examples and applications.,0,0,1,2,1,4.00 / 80.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,4.0
13,4,24,The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,2,0,0,1,2.50 / 50.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,2.5
14,4,24,Teachers are able to identify your weaknesses and help you to overcome them.,0,1,2,0,1,3.25 / 65.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,3.25
15,4,24,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,1,2,0,1,3.25 / 65.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,3.25
16,4,24,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,2,1,1,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,3.75
17,4,24,Teachers encourage you to participate in extracurricular activities.,0,0,1,2,1,4.00 / 80.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,4.0
18,4,24,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,1,3,0,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,3.75
19,4,24,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,1,0,3,4.50 / 90.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,4.5
20,4,24,The overall quality of the teaching-learning process in your institute is very good.,0,0,3,1,0,3.25 / 65.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4,3.25
1,2,42,How much of the syllabus was covered in the class?,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,5.0
2,2,42,How well did the teachers prepare for the classes?,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,5.0
3,2,42,How well were the teachers able to communicate?,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,5.0
4,2,42,The teachers approach to teaching can best be described as,0,0,1,0,1,4.00 / 80.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,4.0
5,2,42,Fairness of the internal evaluation process by the teachers.,0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,4.5
6,2,42,Was your performance in assignments discussed with you?,0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,4.5
7,2,42,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,1,0,1,4.00 / 80.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,4.0
8,2,42,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,4.5
9,2,42,The institution provides multiple opportunities to learn and grow.,0,0,1,1,0,3.50 / 70.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,3.5
10,2,42,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,4.5
11,2,42,Your mentor does a necessary follow-up with an assigned task to you.,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,5.0
12,2,42,The teachers illustrate the concepts through examples and applications.,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,5.0
13,2,42,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,5.0
14,2,42,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,1,0,1,4.00 / 80.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,4.0
15,2,42,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,4.5
16,2,42,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,5.0
17,2,42,Teachers encourage you to participate in extracurricular activities.,0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,4.5
18,2,42,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,5.0
19,2,42,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,1,1,0,3.50 / 70.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,3.5
20,2,42,The overall quality of the teaching-learning process in your institute is very good.,0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,2,4.5
1,3,20,How much of the syllabus was covered in the class?,0,1,1,1,0,3.00 / 60.00,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,3.0
2,3,20,How well did the teachers prepare for the classes?,0,0,1,2,0,3.67 / 73.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,3.6666666666666665
3,3,20,How well were the teachers able to communicate?,0,1,0,2,0,3.33 / 66.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,3.3333333333333335
4,3,20,The teachers approach to teaching can best be described as,0,1,1,1,0,3.00 / 60.00,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,3.0
5,3,20,Fairness of the internal evaluation process by the teachers.,0,0,1,2,0,3.67 / 73.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,3.6666666666666665
6,3,20,Was your performance in assignments discussed with you?,0,1,2,0,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,2.6666666666666665
7,3,20,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,2,0,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,2.6666666666666665
8,3,20,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",2,1,0,0,0,1.33 / 26.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,1.3333333333333333
9,3,20,The institution provides multiple opportunities to learn and grow.,0,1,2,0,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,2.6666666666666665
10,3,20,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,1,0,2,0,3.33 / 66.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,3.3333333333333335
11,3,20,Your mentor does a necessary follow-up with an assigned task to you.,1,0,2,0,0,2.33 / 46.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,2.3333333333333335
12,3,20,The teachers illustrate the concepts through examples and applications.,1,2,0,0,0,1.67 / 33.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,1.6666666666666667
13,3,20,The teachers identify your strengths and encourage you to provide the proper level of challenges.,2,1,0,0,0,1.33 / 26.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,1.3333333333333333
14,3,20,Teachers are able to identify your weaknesses and help you to overcome them.,0,1,2,0,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,2.6666666666666665
15,3,20,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,2,0,1,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,2.6666666666666665
16,3,20,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,2,0,1,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,2.6666666666666665
17,3,20,Teachers encourage you to participate in extracurricular activities.,0,0,3,0,0,3.00 / 60.00,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,3.0
18,3,20,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,1,1,0,3.00 / 60.00,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,3.0
19,3,20,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,1,2,0,3.67 / 73.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,3.6666666666666665
20,3,20,The overall quality of the teaching-learning process in your institute is very good.,1,0,2,0,0,2.33 / 46.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3,2.3333333333333335
1,1,21,How much of the syllabus was covered in the class?,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,5.0
2,1,21,How well did the teachers prepare for the classes?,0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,4.0
3,1,21,How well were the teachers able to communicate?,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,5.0
4,1,21,The teachers approach to teaching can best be described as,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,5.0
5,1,21,Fairness of the internal evaluation process by the teachers.,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,5.0
6,1,21,Was your performance in assignments discussed with you?,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,5.0
7,1,21,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,5.0
8,1,21,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,4.0
9,1,21,The institution provides multiple opportunities to learn and grow.,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,5.0
10,1,21,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,5.0
11,1,21,Your mentor does a necessary follow-up with an assigned task to you.,0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,4.0
12,1,21,The teachers illustrate the concepts through examples and applications.,0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,5.0
13,1,21,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,4.0
14,1,21,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,4.0
15,1,21,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,4.0
16,1,21,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,4.0
17,1,21,Teachers encourage you to participate in extracurricular activities.,0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,4.0
18,1,21,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,0,0,1,5.00 / 100.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,5.0
19,1,21,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,4.0
20,1,21,The overall quality of the teaching-learning process in your institute is very good.,0,0,0,1,0,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,1,4.0
1,3,24,How much of the syllabus was covered in the class?,0,0,2,0,1,3.67 / 73.33,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,3.6666666666666665
2,3,24,How well did the teachers prepare for the classes?,0,0,1,2,0,3.67 / 73.33,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,3.6666666666666665
3,3,24,How well were the teachers able to communicate?,0,0,0,2,1,4.33 / 86.67,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,4.333333333333333
4,3,24,The teachers approach to teaching can best be described as,1,0,1,0,1,3.00 / 60.00,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,3.0
5,3,24,Fairness of the internal evaluation process by the teachers.,0,1,0,1,1,3.67 / 73.33,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,3.6666666666666665
6,3,24,Was your performance in assignments discussed with you?,0,1,1,0,1,3.33 / 66.67,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,3.3333333333333335
7,3,24,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,2,0,1,3.67 / 73.33,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,3.6666666666666665
8,3,24,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,0,0,2,0,3.00 / 60.00,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,3.0
9,3,24,The institution provides multiple opportunities to learn and grow.,1,0,1,0,1,3.00 / 60.00,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,3.0
10,3,24,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",1,0,0,1,1,3.33 / 66.67,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,3.3333333333333335
11,3,24,Your mentor does a necessary follow-up with an assigned task to you.,1,0,0,2,0,3.00 / 60.00,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,3.0
12,3,24,The teachers illustrate the concepts through examples and applications.,0,2,0,0,1,3.00 / 60.00,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,3.0
13,3,24,The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,0,1,0,1,3.00 / 60.00,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,3.0
14,3,24,Teachers are able to identify your weaknesses and help you to overcome them.,0,1,0,1,1,3.67 / 73.33,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,3.6666666666666665
15,3,24,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",1,0,1,0,1,3.00 / 60.00,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,3.0
16,3,24,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,0,0,1,1,3.33 / 66.67,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,3.3333333333333335
17,3,24,Teachers encourage you to participate in extracurricular activities.,1,0,1,0,1,3.00 / 60.00,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,3.0
18,3,24,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,0,1,1,3.67 / 73.33,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,3.6666666666666665
19,3,24,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,1,1,0,1,3.33 / 66.67,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,3.3333333333333335
20,3,24,The overall quality of the teaching-learning process in your institute is very good.,0,0,1,1,1,4.00 / 80.00,MSC MICROBIOLOGY - 1,MSC MICROBIOLOGY,3,4.0
1,14,44,How much of the syllabus was covered in the class?,0,1,3,7,3,3.86 / 77.14,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,3.857142857142857
2,14,44,How well did the teachers prepare for the classes?,1,1,3,7,2,3.57 / 71.43,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,3.5714285714285716
3,14,44,How well were the teachers able to communicate?,1,3,2,5,3,3.43 / 68.57,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,3.4285714285714284
4,14,44,The teachers approach to teaching can best be described as,1,4,4,3,2,3.07 / 61.43,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,3.0714285714285716
5,14,44,Fairness of the internal evaluation process by the teachers.,0,0,4,5,5,4.07 / 81.43,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,4.071428571428571
6,14,44,Was your performance in assignments discussed with you?,1,2,4,4,3,3.43 / 68.57,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,3.4285714285714284
7,14,44,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",1,3,4,2,4,3.36 / 67.14,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,3.357142857142857
8,14,44,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,1,5,5,3,3.71 / 74.29,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,3.7142857142857144
9,14,44,The institution provides multiple opportunities to learn and grow.,0,1,4,7,2,3.71 / 74.29,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,3.7142857142857144
10,14,44,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,3,3,4,4,3.64 / 72.86,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,3.642857142857143
11,14,44,Your mentor does a necessary follow-up with an assigned task to you.,1,1,2,7,3,3.71 / 74.29,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,3.7142857142857144
12,14,44,The teachers illustrate the concepts through examples and applications.,1,3,1,4,5,3.64 / 72.86,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,3.642857142857143
13,14,44,The teachers identify your strengths and encourage you to provide the proper level of challenges.,2,4,3,1,4,3.07 / 61.43,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,3.0714285714285716
14,14,44,Teachers are able to identify your weaknesses and help you to overcome them.,2,3,1,5,3,3.29 / 65.71,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,3.2857142857142856
15,14,44,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,2,3,5,4,3.79 / 75.71,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,3.7857142857142856
16,14,44,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,2,1,5,5,3.79 / 75.71,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,3.7857142857142856
17,14,44,Teachers encourage you to participate in extracurricular activities.,0,3,4,4,3,3.50 / 70.00,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,3.5
18,14,44,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,2,5,3,4,3.64 / 72.86,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,3.642857142857143
19,14,44,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,4,5,3,2,3.21 / 64.29,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,3.2142857142857144
20,14,44,The overall quality of the teaching-learning process in your institute is very good.,1,2,4,5,2,3.36 / 67.14,MSC ANALYTICAL CHEMISTRY SEM III,MSC ANALYTICAL CHEMISTRY,14,3.357142857142857
1,7,20,How much of the syllabus was covered in the class?,0,0,1,1,5,4.57 / 91.43,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,7,4.571428571428571
2,7,20,How well did the teachers prepare for the classes?,0,0,0,5,2,4.29 / 85.71,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,7,4.285714285714286
3,7,20,How well were the teachers able to communicate?,0,0,0,2,5,4.71 / 94.29,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,7,4.714285714285714
4,7,20,The teachers approach to teaching can best be described as,0,0,1,3,3,4.29 / 85.71,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,7,4.285714285714286
5,7,20,Fairness of the internal evaluation process by the teachers.,0,0,0,1,6,4.86 / 97.14,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,7,4.857142857142857
6,7,20,Was your performance in assignments discussed with you?,0,0,0,3,4,4.57 / 91.43,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,7,4.571428571428571
7,7,20,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,2,3,2,4.00 / 80.00,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,7,4.0
8,7,20,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,0,6,1,4.14 / 82.86,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,7,4.142857142857143
